invoice,date,customer_id,material_id,qty_sold,selling_price,payment_method,sale_type
INV00016,06/05/2025,C016,M003,5,15362,POS,Wholesale
INV00017,07/05/2025,C017,M021,13,16787,Cash,Retail
INV00018,07/05/2025,C018,M016,12,22837,Transfer,Retail
INV00195,07/05/2025,C015,M010,2,22841,Cash,Wholesale
INV00196,07/05/2025,C016,M004,8,19859,Cash,Wholesale
INV00197,07/05/2025,C017,M001,10,11330,POS,Retail
INV00198,08/05/2025,C018,M022,9,21929,Cash,Wholesale
INV00199,08/05/2025,C019,M013,2,12212,Cash,Retail
INV00200,08/05/2025,C020,M003,11,15421,Transfer,Wholesale
INV00019,07/05/2025,C019,M014,10,13869,Cash,Retail
INV00020,08/05/2025,C020,M009,14,16823,POS,Retail
INV00021,08/05/2025,C021,M011,12,28440,Transfer,Wholesale
INV00022,08/05/2025,C022,M002,2,12900,POS,Retail
INV00023,09/05/2025,C023,M023,15,28978,POS,Wholesale
INV00024,09/05/2025,C024,M005,3,25951,Transfer,Retail
INV00025,09/05/2025,C025,M003,10,15372,POS,Retail
INV00026,10/05/2025,C026,M022,7,21817,Cash,Retail
INV00027,10/05/2025,C027,M024,7,36510,Cash,Wholesale
INV00028,10/05/2025,C028,M003,6,15762,Transfer,Wholesale
INV00029,10/05/2025,C029,M012,11,32819,Cash,Wholesale
INV00030,10/05/2025,C030,M005,10,25232,Transfer,Retail
INV00031,11/05/2025,C001,M009,2,16956,Transfer,Wholesale
INV00032,11/05/2025,C002,M017,3,28491,Transfer,Wholesale
INV00033,12/05/2025,C003,M006,3,31747,Cash,Retail
INV00034,12/05/2025,C004,M003,14,16378,POS,Wholesale
INV00035,12/05/2025,C005,M008,7,14038,Transfer,Retail
INV00036,13/05/2025,C006,M017,1,27080,Cash,Retail
INV00037,13/05/2025,C007,M014,11,15092,Cash,Wholesale
INV00038,13/05/2025,C008,M007,3,11224,Transfer,Wholesale
INV00039,14/05/2025,C009,M008,5,13080,POS,Wholesale
INV00040,14/05/2025,C010,M013,7,12411,POS,Wholesale
INV00041,14/05/2025,C011,M021,7,16394,Cash,Retail
INV00042,15/05/2025,C012,M024,3,35445,Cash,Retail
INV00043,15/05/2025,C013,M002,3,12681,Cash,Wholesale
INV00044,15/05/2025,C014,M016,11,22546,Transfer,Wholesale
INV00045,16/05/2025,C015,M010,15,21166,Transfer,Wholesale
INV00046,16/05/2025,C016,M015,2,18029,POS,Retail
INV00047,16/05/2025,C017,M003,6,15626,Cash,Wholesale
INV00048,17/05/2025,C018,M004,5,19488,POS,Retail
INV00049,17/05/2025,C019,M002,8,12919,Transfer,Wholesale
INV00050,18/05/2025,C020,M002,12,13421,Transfer,Retail
INV00051,18/05/2025,C021,M004,13,22236,Transfer,Wholesale
INV00052,19/05/2025,C022,M022,4,22547,Cash,Retail
INV00053,19/05/2025,C023,M019,4,11551,POS,Wholesale
INV00054,19/05/2025,C024,M023,6,29063,Cash,Wholesale
INV00055,20/05/2025,C025,M012,5,35681,Cash,Retail
INV00056,20/05/2025,C026,M006,11,32112,POS,Wholesale
INV00057,20/05/2025,C027,M024,5,33769,Cash,Wholesale
INV00058,20/05/2025,C028,M022,7,23540,Cash,Wholesale
INV00059,20/05/2025,C029,M004,12,20328,Transfer,Retail
INV00060,21/05/2025,C030,M016,1,22864,POS,Retail
INV00061,21/05/2025,C001,M016,7,22424,Transfer,Wholesale
INV00062,21/05/2025,C002,M015,5,16528,Cash,Retail
INV00063,22/05/2025,C003,M006,12,33451,Transfer,Retail
INV00064,22/05/2025,C004,M018,4,35232,Cash,Retail
INV00065,22/05/2025,C005,M018,15,36349,Cash,Retail
INV00066,23/05/2025,C006,M020,1,13964,Transfer,Wholesale
INV00067,23/05/2025,C007,M014,10,14702,POS,Retail
INV00068,23/05/2025,C008,M024,1,35326,Cash,Retail
INV00069,24/05/2025,C009,M005,5,26521,Transfer,Wholesale
INV00070,24/05/2025,C010,M011,3,26693,Cash,Wholesale
INV00071,25/05/2025,C011,M008,12,14651,POS,Retail
INV00072,25/05/2025,C012,M009,1,15537,Cash,Retail
INV00073,26/05/2025,C013,M010,15,20792,Cash,Wholesale
INV00074,26/05/2025,C014,M011,7,25730,Transfer,Retail
INV00075,26/05/2025,C015,M019,1,11474,POS,Retail
INV00076,27/05/2025,C016,M024,1,34713,Transfer,Retail
INV00077,27/05/2025,C017,M013,9,11266,Cash,Wholesale
INV00078,27/05/2025,C018,M006,3,31260,POS,Wholesale
INV00079,28/05/2025,C019,M010,1,21294,POS,Retail
INV00080,28/05/2025,C020,M001,2,10938,Transfer,Wholesale
INV00081,28/05/2025,C021,M009,10,16684,POS,Wholesale
INV00082,29/05/2025,C022,M005,6,26438,Transfer,Retail
INV00083,29/05/2025,C023,M006,10,31932,POS,Retail
INV00084,29/05/2025,C024,M009,9,16236,POS,Retail
INV00085,30/05/2025,C025,M015,13,18185,Cash,Wholesale
INV00086,30/05/2025,C026,M011,8,27564,POS,Wholesale
INV00087,30/05/2025,C027,M006,8,34092,POS,Wholesale
INV00088,30/05/2025,C028,M016,10,22696,Cash,Wholesale
INV00089,30/05/2025,C029,M022,1,22206,Cash,Retail
INV00090,31/05/2025,C030,M016,12,22010,Transfer,Retail
INV00091,31/05/2025,C001,M007,5,11347,POS,Wholesale
INV00092,01/06/2025,C002,M008,6,14082,POS,Retail
INV00093,01/06/2025,C003,M020,8,14069,Cash,Retail
INV00094,02/06/2025,C004,M008,8,13518,Cash,Retail
INV00095,02/06/2025,C005,M013,2,12079,Transfer,Wholesale
INV00096,02/06/2025,C006,M022,8,21554,Cash,Retail
INV00097,03/06/2025,C007,M013,12,11848,POS,Retail
INV00098,03/06/2025,C008,M013,1,12125,POS,Wholesale
INV00099,03/06/2025,C009,M017,7,28295,POS,Wholesale
INV00100,04/06/2025,C010,M015,13,17721,POS,Retail
INV00101,04/06/2025,C011,M018,3,34062,POS,Retail
INV00102,04/06/2025,C012,M022,13,23118,Transfer,Wholesale
INV00103,05/06/2025,C013,M003,1,15265,POS,Wholesale
INV00104,05/06/2025,C014,M010,15,22384,POS,Retail
INV00105,05/06/2025,C015,M003,1,15473,Transfer,Retail
INV00106,06/06/2025,C016,M016,9,22589,Cash,Wholesale
INV00107,06/06/2025,C017,M018,7,33294,POS,Wholesale
INV00108,06/06/2025,C018,M013,3,12045,Cash,Wholesale
INV00109,07/06/2025,C019,M013,6,12315,POS,Wholesale
INV00110,07/06/2025,C020,M008,15,13818,Transfer,Wholesale
INV00111,08/06/2025,C021,M009,13,17024,Cash,Retail
INV00112,08/06/2025,C022,M021,7,16407,POS,Retail
INV00113,09/06/2025,C023,M019,10,11763,POS,Wholesale
INV00114,09/06/2025,C024,M014,4,14622,POS,Retail
INV00115,09/06/2025,C025,M010,7,22892,POS,Wholesale
INV00116,10/06/2025,C026,M006,7,32208,Cash,Wholesale
INV00117,10/06/2025,C027,M019,9,11377,Cash,Wholesale
INV00118,10/06/2025,C028,M007,6,12039,POS,Wholesale
INV00119,10/06/2025,C029,M024,2,35895,Cash,Retail
INV00120,10/06/2025,C030,M011,4,27859,Cash,Wholesale
INV00121,11/06/2025,C001,M004,1,22331,Cash,Retail
INV00122,11/06/2025,C002,M011,3,28371,Cash,Wholesale
INV00123,11/06/2025,C003,M024,6,36668,POS,Retail
INV00124,12/06/2025,C004,M012,2,34102,Cash,Wholesale
INV00125,12/06/2025,C005,M012,3,34903,Cash,Wholesale
INV00126,12/06/2025,C006,M018,8,35285,Cash,Wholesale
INV00127,13/06/2025,C007,M005,11,26452,Transfer,Wholesale
INV00128,13/06/2025,C008,M024,2,35331,Cash,Retail
INV00129,13/06/2025,C009,M016,6,23510,Transfer,Retail
INV00130,14/06/2025,C010,M010,15,20464,POS,Retail
INV00131,14/06/2025,C011,M010,7,20701,POS,Wholesale
INV00132,15/06/2025,C012,M002,4,12626,Transfer,Retail
INV00133,15/06/2025,C013,M005,5,25770,Transfer,Wholesale
INV00134,16/06/2025,C014,M006,9,30706,Cash,Wholesale
INV00135,16/06/2025,C015,M012,3,33918,Cash,Wholesale
INV00136,16/06/2025,C016,M001,1,10797,Transfer,Wholesale
INV00137,17/06/2025,C017,M017,2,29764,Cash,Wholesale
INV00138,17/06/2025,C018,M001,8,10461,Transfer,Wholesale
INV00139,17/06/2025,C019,M017,1,27748,Transfer,Wholesale
INV00140,18/06/2025,C020,M019,15,11042,POS,Retail
INV00141,18/06/2025,C021,M007,1,11089,Transfer,Wholesale
INV00142,18/06/2025,C022,M001,14,10676,Cash,Wholesale
INV00143,19/06/2025,C023,M007,7,11256,Cash,Wholesale
INV00144,19/06/2025,C024,M014,4,15021,Transfer,Wholesale
INV00145,19/06/2025,C025,M010,1,21222,Cash,Retail
INV00146,20/06/2025,C026,M015,2,17469,Cash,Wholesale
INV00147,20/06/2025,C027,M005,4,26631,POS,Wholesale
INV00148,20/06/2025,C028,M011,10,25910,Transfer,Retail
INV00149,20/06/2025,C029,M003,15,16302,Cash,Retail
INV00150,20/06/2025,C030,M006,13,33785,Transfer,Retail
INV00151,21/06/2025,C001,M021,6,16164,Cash,Wholesale
INV00152,21/06/2025,C002,M017,15,28835,Cash,Wholesale
INV00153,22/06/2025,C003,M004,2,22097,Transfer,Wholesale
INV00154,22/06/2025,C004,M012,15,35442,POS,Wholesale
INV00155,23/06/2025,C005,M008,10,13959,Cash,Retail
INV00156,23/06/2025,C006,M024,7,34233,Transfer,Retail
INV00157,23/06/2025,C007,M001,1,10088,Cash,Retail
INV00158,24/06/2025,C008,M010,1,21719,Cash,Wholesale
INV00159,24/06/2025,C009,M012,13,34769,Transfer,Wholesale
INV00160,24/06/2025,C010,M015,2,18185,Transfer,Wholesale
INV00161,25/06/2025,C011,M023,10,29257,Transfer,Wholesale
INV00162,25/06/2025,C012,M006,10,31683,POS,Wholesale
INV00163,25/06/2025,C013,M002,12,13446,POS,Wholesale
INV00164,26/06/2025,C014,M004,15,20860,POS,Wholesale
INV00165,26/06/2025,C015,M014,3,14738,Cash,Wholesale
INV00166,26/06/2025,C016,M001,10,10254,POS,Wholesale
INV00167,27/06/2025,C017,M002,1,13501,Transfer,Retail
INV00168,27/06/2025,C018,M012,6,35596,Transfer,Retail
INV00169,27/06/2025,C019,M024,2,36097,Cash,Wholesale
INV00170,28/06/2025,C020,M013,3,11745,POS,Wholesale
INV00171,28/06/2025,C021,M019,15,10944,POS,Retail
INV00172,29/06/2025,C022,M019,1,11555,Cash,Retail
INV00173,29/06/2025,C023,M015,1,17463,Transfer,Retail
INV00174,30/06/2025,C024,M001,10,11294,Transfer,Wholesale
INV00175,30/06/2025,C025,M020,10,13895,POS,Retail
INV00176,30/06/2025,C026,M023,2,29970,Cash,Retail
INV00177,30/06/2025,C027,M003,12,14820,POS,Retail
INV00178,30/06/2025,C028,M021,11,16354,Transfer,Wholesale
